HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,DESCRIPTION,LEVEL_1,LEVEL_2,SOURCE_COLUMN,ENTITY_TYPE,IS_LEAF_NODE,SORT_ORDER
AU_OP_TRUE,TRUE,AU_OP,Maps cost_center_area_code to 'TRUE',AU_Op,TRUE,cost_center_area_code,cost_center,true,1
AU_OP_ELSE,FALSE,AU_OP,ELSE - default when no conditions match,AU_Op,FALSE,cost_center_area_code,cost_center,true,2
A3_OP,A3_Op,,Auto-extracted from SQL on cost_center_area_code,A3_Op,,cost_center_area_code,cost_center,false,0
A3_OP_TRUE,TRUE,A3_OP,Maps cost_center_area_code to 'TRUE',A3_Op,TRUE,cost_center_area_code,cost_center,true,1
A3_OP_ELSE,FALSE,A3_OP,ELSE - default when no conditions match,A3_Op,FALSE,cost_center_area_code,cost_center,true,2
AU_NOP,AU_Nop,,Auto-extracted from SQL on cost_center_area_code,AU_Nop,,cost_center_area_code,cost_center,false,0
AU_NOP_TRUE,TRUE,AU_NOP,Maps cost_center_area_code to 'TRUE',AU_Nop,TRUE,cost_center_area_code,cost_center,true,1
AU_NOP_ELSE,FALSE,AU_NOP,ELSE - default when no conditions match,AU_Nop,FALSE,cost_center_area_code,cost_center,true,2
A3_NOP,A3_Nop,,Auto-extracted from SQL on cost_center_area_code,A3_Nop,,cost_center_area_code,cost_center,false,0
A3_NOP_TRUE,TRUE,A3_NOP,Maps cost_center_area_code to 'TRUE',A3_Nop,TRUE,cost_center_area_code,cost_center,true,1
A3_NOP_ELSE,FALSE,A3_NOP,ELSE - default when no conditions match,A3_Nop,FALSE,cost_center_area_code,cost_center,true,2
FUND,fund,,Auto-extracted from SQL on corp_code,fund,,corp_code,entity,false,0
FUND_A3,A3,FUND,Maps corp_code to 'A3',fund,A3,corp_code,entity,true,1
FUND_AU,AU,FUND,Maps corp_code to 'AU',fund,AU,corp_code,entity,true,2
FUND_4HC,4HC,FUND,Maps corp_code to '4HC',fund,4HC,corp_code,entity,true,3
FUND_ELSE,NULL,FUND,ELSE - default when no conditions match,fund,NULL,corp_code,entity,true,4
SEGMENT,Segment,,Auto-extracted from SQL on corp_code,Segment,,corp_code,entity,false,0
SEGMENT_UPSTREAM,Upstream,SEGMENT,Maps corp_code to 'Upstream',Segment,Upstream,corp_code,entity,true,1
SEGMENT_MIDSTREAM,Midstream,SEGMENT,Maps corp_code to 'Midstream',Segment,Midstream,corp_code,entity,true,2
SEGMENT_MARKETING,Marketing,SEGMENT,Maps corp_code to 'Marketing',Segment,Marketing,corp_code,entity,true,3
SEGMENT_SERVICES,Services,SEGMENT,Maps corp_code to 'Services',Segment,Services,corp_code,entity,true,4
SEGMENT_ELIM,Elim,SEGMENT,Maps corp_code to 'Elim',Segment,Elim,corp_code,entity,true,5
SEGMENT_ELSE,NULL,SEGMENT,ELSE - default when no conditions match,Segment,NULL,corp_code,entity,true,6
AU_STAKE,AU_Stake,,Auto-extracted from SQL on corp_code,AU_Stake,,corp_code,entity,false,0
AU_STAKE_1,1,AU_STAKE,Maps corp_code to '1',AU_Stake,1,corp_code,entity,true,1
AU_STAKE_0.9,0.9,AU_STAKE,Maps corp_code to '0.9',AU_Stake,0.9,corp_code,entity,true,2
AU_STAKE_0.225,0.225,AU_STAKE,Maps corp_code to '0.225',AU_Stake,0.225,corp_code,entity,true,3
AU_STAKE_ELSE,0,AU_STAKE,ELSE - default when no conditions match,AU_Stake,0,corp_code,entity,true,4
A3_STAKE,A3_Stake,,Auto-extracted from SQL on corp_code,A3_Stake,,corp_code,entity,false,0
A3_STAKE_1,1,A3_STAKE,Maps corp_code to '1',A3_Stake,1,corp_code,entity,true,1
A3_STAKE_0.9,0.9,A3_STAKE,Maps corp_code to '0.9',A3_Stake,0.9,corp_code,entity,true,2
A3_STAKE_0.675,0.675,A3_STAKE,Maps corp_code to '0.675',A3_Stake,0.675,corp_code,entity,true,3
A3_STAKE_ELSE,0,A3_STAKE,ELSE - default when no conditions match,A3_Stake,0,corp_code,entity,true,4
