HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE
GL_COPAS,COPAS,gl,account_code,IN,590-211,COPAS
GL_COPAS,COPAS,gl,account_code,IN,590-990,COPAS
GL_COPAS,COPAS,gl,account_code,IN,640-992,COPAS
GL_COMPRESSOR_RECOVERY_INCOM,Compressor Recovery Income,gl,account_code,=,590-555,Compressor Recovery Income
GL_RIG_TERMINATION_PENALTIES,Rig Termination Penalties,gl,account_code,=,590-850,Rig Termination Penalties
GL_GATHERING_FEE_INCOME,Gathering Fee Income,gl,account_code,=,590-991,Gathering Fee Income
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-100,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-110,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-113,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-120,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-123,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-275,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-990,Oil Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-100,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-110,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-113,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-120,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-123,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-275,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-990,Gas Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-100,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-110,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-113,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-120,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-123,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-275,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-990,NGL Severance Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-120,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-991,Ad Valorem Taxes
