XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
36,20,Midstream Operating Statement,1,Midstream,10,Service Revenue,12,Service Revenue - TRT,,,0,,0,,0,,0,,0,,,515-130,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRTService Revenue - TRT,,,Total Service Revenue,true,,,,,,,false
37,21,Midstream Operating Statement,1,Midstream,10,Service Revenue,13,Service Revenue - CND,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CNDService Revenue - CND,,,Total Service Revenue,true,,,,,,,false
38,21,Midstream Operating Statement,1,Midstream,10,Service Revenue,13,Service Revenue - CND,,,0,,0,,0,,0,,0,,,515-140,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CNDService Revenue - CND,,,Total Service Revenue,true,,,,,,,false
39,21,Midstream Operating Statement,1,Midstream,10,Service Revenue,13,Service Revenue - CND,,,0,,0,,0,,0,,0,,,CONDI,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CNDService Revenue - CND,,,Total Service Revenue,true,,,,,,,false
40,22,Midstream Operating Statement,1,Midstream,10,Service Revenue,14,Service Revenue - Misc,,,0,,0,,0,,0,,0,,,Misc,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - MiscService Revenue - Misc,,,Total Service Revenue,true,,,,,,,false
41,22,Midstream Operating Statement,1,Midstream,10,Service Revenue,14,Service Revenue - Misc,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - MiscService Revenue - Misc,,,Total Service Revenue,true,,,,,,,false
42,22,Midstream Operating Statement,1,Midstream,10,Service Revenue,14,Service Revenue - Misc,,,0,,0,,0,,0,,0,,,515-199,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - MiscService Revenue - Misc,,,Total Service Revenue,true,,,,,,,false
43,23,Midstream Operating Statement,1,Midstream,10,Service Revenue,15,Service Revenue - RNT,,,0,,0,,0,,0,,0,,,COMPR,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - RNTService Revenue - RNT,,,Total Service Revenue,true,,,,,,,false
44,23,Midstream Operating Statement,1,Midstream,10,Service Revenue,15,Service Revenue - RNT,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - RNTService Revenue - RNT,,,Total Service Revenue,true,,,,,,,false
45,23,Midstream Operating Statement,1,Midstream,10,Service Revenue,15,Service Revenue - RNT,,,0,,0,,0,,0,,0,,,515-205,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - RNTService Revenue - RNT,,,Total Service Revenue,true,,,,,,,false
