XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
37,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,AD VALOREM TAX,AVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
38,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,Colo Ad Valorem Tax,ADVAL,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
39,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,Ad Valorem Tax - General,NOPAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
40,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,,OIL,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
41,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,,COND,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
42,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Fremont Co.,WYAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
43,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Converse Co.,WYAVT1,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
44,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,WY Ad Val Tx - Uinta Co.,WYAVT2,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
45,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Natrona Co.,WYNATRON,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
46,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,AD VALOREM TAX,AVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
47,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,Colo Ad Valorem Tax,ADVAL,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
48,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,Ad Valorem Tax - General,NOPAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
49,11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,,NGL,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,,,,,false
50,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Arkansas Severance Taxes,ARSEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
51,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Louisiana Severance Taxes,LASEV,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
52,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,LA Severance Tax - from JW Agrs,LASEV1,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
53,12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,Louisiana Severance Tax Incapable,LASEVINC,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,,,,,false
