XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
100,Lease Operating Statement,1,Upstream,9,Total Deducts,24,Total Deducts,24,Total Deducts,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Upstream,UpstreamTotal DeductsTotal DeductsTotal DeductsN/A,,,Total Deducts,false,1,Total Deducts,Sum,,false
101,Lease Operating Statement,1,Upstream,10,Total Taxes and Deducts,25,Total Taxes and Deducts,25,Total Taxes and Deducts,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Total Taxes and DeductsTotal Taxes and Deducts,Total Taxes and DeductsTotal Taxes and Deducts,,,Total Taxes and Deducts,false,2,Total Taxes,Add,,false
102,Lease Operating Statement,1,Upstream,10,Total Taxes and Deducts,25,Total Taxes and Deducts,25,Total Taxes and Deducts,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Total Taxes and DeductsTotal Taxes and Deducts,Total Taxes and DeductsTotal Taxes and Deducts,,,Total Taxes and Deducts,false,2,Total Deducts,Add,,false
103,Lease Operating Statement,1,Upstream,11,Gross Profit,26,Gross Profit,26,Gross Profit,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Gross ProfitGross Profit,Gross ProfitGross Profit,,,Gross Profit,false,3,Total Revenue,Add,,false
104,Lease Operating Statement,1,Upstream,11,Gross Profit,26,Gross Profit,26,Gross Profit,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Gross ProfitGross Profit,Gross ProfitGross Profit,,,Gross Profit,false,3,Total Taxes,Subtract,,false
105,Lease Operating Statement,1,Upstream,11,Gross Profit,26,Gross Profit,26,Gross Profit,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Gross ProfitGross Profit,Gross ProfitGross Profit,,,Gross Profit,false,3,Total Deducts,Subtract,,false
107,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,3,Artificial Lift Equip,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedArtificial Lift Equip,,,Total Operating Expense,false,,,,,false
108,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,4,Automation/Measrmt,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedAutomation/Measrmt,,,Total Operating Expense,false,,,,,false
109,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,5,Bottom Hole Pump,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedBottom Hole Pump,,,Total Operating Expense,false,,,,,false
110,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,6,Chemicals,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedChemical Pump Replacmt/Repairs,,,Total Operating Expense,false,,,,,false
